episode_idx,seed,success,num_steps,infer_s,sim_s,prefill_s,infer_per_action_s,infer_s_per_call,action_hz_policy_only,action_hz_infer_plus_sim,skipped_prefill_ratio
0,4300000,False,400,12.416089288890362,15.818581581115723,1.3130197674036026,0.031040223222225903,0.49664357155561445,32.216263164111666,14.166979379416928,0.0
10,4300011,False,400,12.688378751277924,15.651568658649921,1.2921856343746185,0.03172094687819481,0.5075351500511169,31.524910143442366,14.114352232702975,0.0
11,4300012,True,59,2.030986785888672,4.158975295722485,0.2015448361635208,0.03442350484557071,0.507746696472168,29.04991820229109,9.531560811216337,0.0
12,4300013,False,400,12.644101776182652,29.800401158630848,1.2875813245773315,0.03161025444045663,0.505764071047306,31.63530372346963,9.424070782836642,0.0
13,4300014,True,46,1.5675236508250237,3.445635326206684,0.19594264030456543,0.034076601104891815,0.5225078836083412,29.345649729615975,9.17585103739052,0.0
14,4300015,True,81,3.016343414783478,6.289914779365063,0.2979416027665138,0.03723880758991948,0.502723902463913,26.853706246778412,8.703820408822319,0.0
15,4300016,True,47,1.5686930567026138,3.6023512184619904,0.20112620294094086,0.03337644801494923,0.5228976855675379,29.961246911358046,9.089073212103546,0.0
16,4300017,True,108,3.600153408944607,5.719729132950306,0.39523427933454514,0.03333475378652414,0.5143076298492295,29.99872164660351,11.588128875499917,0.0
17,4300018,False,400,12.63461708277464,16.491941273212433,1.3005002737045288,0.031586542706936595,0.5053846833109855,31.659052061446214,13.733170775316765,0.0
18,4300020,False,400,12.512280836701393,16.060717225074768,1.2760692834854126,0.03128070209175348,0.5004912334680557,31.968591915449032,13.999230991972954,0.0
19,4300021,True,131,4.639917895197868,6.447348549962044,0.49823257327079773,0.03541922057402953,0.5155464327997632,28.23325820820662,11.815355989499771,0.0
1,4300001,True,78,2.5295565500855446,4.549265533685684,0.2972574308514595,0.0324302121805839,0.5059113100171089,30.835444258940246,11.018782373245585,0.0
20,4300022,False,400,12.578610926866531,15.574401266872883,1.2733512222766876,0.03144652731716633,0.5031444370746613,31.800013715794638,14.208071138084145,0.0
21,4300023,False,400,12.759476639330387,15.277708150446415,1.2969261929392815,0.031898691598325965,0.5103790655732154,31.349248194633777,14.266767615907428,0.0
22,4300024,True,142,4.554390907287598,7.086324922740459,0.4865546301007271,0.03207317540343379,0.5060434341430664,31.178702682894908,12.198562534590947,0.0
23,4300025,True,42,1.5608398765325546,3.217946007847786,0.1964813694357872,0.037162854203156064,0.5202799588441849,26.908589812110687,8.788843236789232,0.0
24,4300026,False,400,12.805676765739918,32.77880569547415,1.2920790016651154,0.032014191914349795,0.5122270706295967,31.236146852476626,8.774915901268448,0.0
25,4300027,False,400,12.78360390663147,17.028049267828465,1.3031802773475647,0.03195900976657867,0.5113441562652588,31.29008086620243,13.417571902476233,0.0
26,4300028,True,58,2.0375758558511734,3.977956235408783,0.19729503244161606,0.035130618204330576,0.5093939639627934,28.465197913218883,9.641707353580399,0.0
27,4300029,False,400,12.690925642848015,16.502005890011787,1.296032190322876,0.031727314107120035,0.5076370257139206,31.518583534166435,13.701946978149719,0.0
28,4300030,False,400,12.618956446647644,14.895283117890358,1.2870546951889992,0.03154739111661911,0.5047582578659058,31.698342227519465,14.537926772853426,0.0
29,4300032,False,400,12.58685328066349,15.452213816344738,1.2782444581389427,0.031467133201658726,0.5034741312265396,31.779189848387176,14.265809865075006,0.0
2,4300002,True,64,2.039754696190357,4.184320010244846,0.2004784792661667,0.03187116712797433,0.5099386740475893,31.376321927108478,10.28265292732252,0.0
30,4300033,True,54,2.051938995718956,3.7437577843666077,0.20081477612257004,0.03799887029109178,0.512984748929739,26.316571843832786,9.317257622163384,0.0
31,4300034,False,400,12.77834951132536,16.039719805121422,1.288572482764721,0.0319458737783134,0.5111339804530144,31.30294719560479,13.880180369047682,0.0
32,4300035,False,400,12.740640923380852,22.87017408758402,1.2942469418048859,0.03185160230845213,0.5096256369352341,31.39559480606225,11.232542694595352,0.0
33,4300036,False,400,13.000191278755665,24.354067534208298,1.3719817399978638,0.032500478196889164,0.5200076511502266,30.7687780451094,10.708283679321143,0.0
34,4300037,True,77,2.6038913279771805,4.689649276435375,0.2978077083826065,0.033816770493210135,0.520778265595436,29.571126556889396,10.55728680709824,0.0
35,4300038,False,400,12.719153642654419,15.330154575407505,1.2888989448547363,0.031797884106636046,0.5087661457061767,31.44863339480206,14.260601255842243,0.0
36,4300039,False,400,12.532169818878174,16.32920900732279,1.278355173766613,0.03133042454719544,0.501286792755127,31.917856666564568,13.85935171042042,0.0
37,4300040,False,400,12.851135924458504,24.635298065841198,1.3123527467250824,0.03212783981114626,0.5140454369783402,31.12565319916297,10.670526839216215,0.0
38,4300041,True,62,2.0493678748607635,5.689850248396397,0.19794831424951553,0.03305432056227038,0.5123419687151909,30.253231135582407,8.011145184509468,0.0
39,4300042,False,400,12.697744444012642,15.955634720623493,1.3011621087789536,0.03174436111003161,0.5079097777605057,31.501657775811648,13.959959057592695,0.0
3,4300003,True,51,2.0228613018989563,4.362695947289467,0.1979798600077629,0.039663947096057965,0.5057153254747391,25.211812570700655,7.986773590743686,0.0
4,4300004,True,46,1.5820756405591965,3.5181942507624626,0.19824464619159698,0.03439294870780862,0.5273585468530655,29.075727367713565,9.019130551948063,0.0
5,4300005,True,80,2.545950762927532,4.787071526050568,0.2931058704853058,0.031824384536594155,0.5091901525855065,31.422445855948045,10.909553639328768,0.0
6,4300006,True,85,2.9959391206502914,4.801379568874836,0.2913036644458771,0.035246342595885785,0.49932318677504856,28.37173806841245,10.901183263701727,0.0
