task_name,mode,action_horizon,chunks_per_video_prefill,num_episodes,num_success,success_rate,wall_time,returncode,skipped_existing,gpu
pick_dual_bottles,baseline,64,2,40,32,0.8,0.0,0,True,-1
pick_diverse_bottles,baseline,64,2,40,20,0.5,0.0,0,True,-1
place_a2b_left,baseline,64,2,40,9,0.225,0.0,0,True,-1
place_a2b_right,baseline,64,2,40,3,0.075,0.0,0,True,-1
press_stapler,baseline,64,2,40,40,1.0,2341.7520181685686,0,False,4
press_stapler,skip_phase,64,2,40,37,0.925,2822.418540738523,0,False,6
pick_dual_bottles,skip_phase,64,2,40,35,0.875,4805.0052055493,0,False,0
turn_switch,baseline,64,2,40,21,0.525,6066.034352630377,0,False,5
turn_switch,skip_phase,64,2,40,21,0.525,6456.847656473517,0,False,7
pick_diverse_bottles,skip_phase,64,2,40,21,0.525,7028.293062828481,0,False,1
place_a2b_right,skip_phase,64,2,40,7,0.175,9130.462746582925,0,False,3
place_a2b_left,skip_phase,64,2,40,5,0.125,9431.376736395061,0,False,2
move_can_pot,baseline,64,2,40,17,0.425,8049.194796711206,0,False,0
lift_pot,baseline,64,2,40,1,0.025,12254.108268171549,0,False,4
move_can_pot,skip_phase,64,2,40,11,0.275,9520.702250376344,0,False,5
lift_pot,skip_phase,64,2,40,0,0.0,12884.850324325264,0,False,6
handover_block,baseline,64,2,40,5,0.125,16546.70669980347,0,False,7
handover_block,skip_phase,64,2,40,5,0.125,16937.209731407464,0,False,1
stack_bowls_three,baseline,64,2,40,32,0.8,17297.763694413006,0,False,3
stack_bowls_three,skip_phase,64,2,40,24,0.6,22912.200345739722,0,False,2
