batch,task,baseline_success,skip_success,baseline_rate,skip_rate,skip_pct,baseline_L_chunk_ms,skip_L_chunk_ms,baseline_prefill_calls_ep,skip_prefill_calls_ep
batch1,click_bell,26/40,29/40,0.65,0.725,38.416666666666664,472.46406678669155,479.46865655588243,6.475,4.725
batch1,handover_mic,11/40,8/40,0.275,0.2,23.789682539682534,461.992145536577,468.0515231593834,15.875,13.2
batch1,hanging_mug,15/40,15/40,0.375,0.375,46.40984015984016,476.57276900299803,488.2480380588451,22.175,13.0
batch1,move_stapler_pad,1/40,3/40,0.025,0.075,26.125,458.68574809655547,490.27898902175104,12.8,9.55
batch1,place_bread_basket,,23/40,,0.575,39.57503607503607,,453.445434306427,,9.125
batch1,place_mouse_pad,19/40,8/40,0.475,0.2,24.249999999999996,461.9773405802747,453.80187867107713,9.2,9.25
batch1,place_object_basket,,7/40,,0.175,52.00688200688198,,481.5694436315377,,10.225
batch1,put_bottles_dustbin,,,,,48.820173135869986,443.8036173180262,458.15132384773517,41.7027027027027,22.485714285714284
batch1,stack_blocks_three,7/40,4/40,0.175,0.1,14.433873211446747,464.90176570169723,447.01324250249115,34.05,30.95
batch1,stack_blocks_two,23/40,22/40,0.575,0.55,18.751262626262623,463.7702188043062,446.2512830520559,16.575,14.375
batch2,handover_block,5/40,5/40,0.125,0.125,43.325757575757564,472.02256149660286,462.28183093763016,23.075,13.525
batch2,lift_pot,1/40,0/40,0.025,0.0,46.25000000000001,462.6391152087599,461.5070772692561,12.775,7.45
batch2,move_can_pot,17/40,11/40,0.425,0.275,45.541666666666664,441.67984300934603,456.0748136246634,9.6,6.375
batch2,pick_diverse_bottles,,21/40,,0.525,41.99999999999999,,472.2182963349428,,5.625
batch2,pick_dual_bottles,,35/40,,0.875,44.87499999999999,,444.52966711576084,,3.725
batch2,place_a2b_left,,5/40,,0.125,44.12500000000001,,462.177992215676,,7.25
batch2,place_a2b_right,,7/40,,0.175,45.83333333333333,,449.6308222932157,,6.9
batch2,press_stapler,40/40,37/40,1.0,0.925,58.958333333333336,461.79383256796126,469.3249371544354,2.8,2.325
batch2,stack_bowls_three,32/40,24/40,0.8,0.6,36.24018113646598,488.0536185258796,480.1300928161577,19.6,17.2
batch2,turn_switch,21/40,21/40,0.525,0.525,26.852272727272727,456.05056189775235,442.0589261167441,7.575,7.075
